 G,G -> u,U
x-axis: "Mass{p3+p4}$"  from 1220.000000 to 1520.000000 N_bins= 300
Diff. cross section [pb/GeV]
1.500500E+03 -6.779304E-03 +/-  2.271288E-05
1.501500E+03 -6.686261E-03 +/-  2.250428E-05
1.502500E+03 -6.685464E-03 +/-  2.247409E-05
1.503500E+03 -6.721354E-03 +/-  2.248996E-05
1.504500E+03 -6.649092E-03 +/-  2.230715E-05
1.505500E+03 -6.603289E-03 +/-  2.217047E-05
1.506500E+03 -6.565598E-03 +/-  2.206293E-05
1.507500E+03 -6.554449E-03 +/-  2.205245E-05
1.508500E+03 -6.553046E-03 +/-  2.217648E-05
1.509500E+03 -6.509193E-03 +/-  2.210326E-05
1.510500E+03 -6.476756E-03 +/-  2.199837E-05
1.511500E+03 -6.445248E-03 +/-  2.191216E-05
1.512500E+03 -6.406434E-03 +/-  2.179205E-05
1.513500E+03 -6.381810E-03 +/-  2.169919E-05
1.514500E+03 -6.369460E-03 +/-  2.162172E-05
1.515500E+03 -6.323062E-03 +/-  2.149820E-05
1.516500E+03 -6.304530E-03 +/-  2.139726E-05
1.517500E+03 -6.260554E-03 +/-  2.126909E-05
1.518500E+03 -6.249007E-03 +/-  2.119853E-05
1.519500E+03 -6.225702E-03 +/-  2.111254E-05
